Groupe_principal;Personnage_Palyr;Cible_groupe;Personnage_ou_pivot_autre_groupe;Resume_interaction;Notes
Palyr;Corvyn Valdrak;UBI;Melian Torv;Achat d'informations valide par Corvyn ; protection credibles si exposition.;Fiche Corvyn + ligne UBI / Melian cote banque
Palyr;Corvyn Valdrak;Tripot;Marda Velyss;Fermeture casino vs survie Tripot ; enjeu Saevar addiction.;Marda role Palyr fuite
Palyr;Ilara Vandesse;Arthas;Contacts delegation / lettres;Axe bancaire alternatif et engagements a sceller a Ulghart.;Diplomatie Ilara
Palyr;Ilara Vandesse;Il-Irion;Notables delegation familles;Anciens reseaux personnels utiles ou explosifs avec preuves.;Pas allies delegation Palyr
Palyr;Ilara Vandesse;MiVI;Point de contact Styrgie;Lettre de rendez-vous canal discret Styrgie.;Intrigue_Palyr objectif MiVI
Palyr;Thoran Keld;Sfaal;Negociateurs delegation;Dernier chargement sceaux vs fer recu contrats confrontation publique.;Intrigue Sfaal
Palyr;Thoran Keld;Voleurs;Gorvan Tresselune;Achat Arguetheim filiere grise.;Intrigue voleurs Gorvan
Palyr;Thoran Keld;Tripot;Lira;Regate infos pressions sans addiction.;Fiche Thoran
Palyr;Thoran Keld;Tripot;Eliane;Paris cotes regate prestige Palyr.;Fiche Thoran
Palyr;Thoran Keld;Arthas;Interlocuteurs ports relais;Routes discretes Styrgie hors fil Ilara.;Fiche Thoran
Palyr;Lysa Morwyn;UBI;Melian Torv;Canal secret preuves protection promise.;Fiche Lysa
Palyr;Lysa Morwyn;UBI;Edorian;Negociation ombre fuite documents.;Fiche Lysa
Palyr;Lysa Morwyn;UBI;Selvara Quenndral;Codes archives clef.;Fiche Lysa
Palyr;Lysa Morwyn;UBI;Horgrim Dval;Verrouillage acces coffres vs mission Palyr et ligne BN.;Fiche Lysa orga
Palyr;Lysa Morwyn;Tripot;Soren;Traque deserteur BN vs Grand Capitaine.;Secret Lysa
Palyr;Lysa Morwyn;Brigade noire;Contact agent relais Ulghart;Actualisation mission couverture tresoriere.;Org BN
Palyr;Saevar Dren;Il-Irion;Marek Thorne;Relais ports croisement reseaux.;Fiche Saevar + Il-Irion si mention
Palyr;Saevar Dren;Ther-Felis;Dorian Marest;Transit Ther-Palyr-Sfaal renseignement Ulghart.;Back orga Dorian Palyr
Palyr;Saevar Dren;Mafia;Interlocuteurs Sangs de la Steppe;Contacts ambigus dette jeu.;Fiche Saevar
Palyr;Saevar Dren;Mercenaires;Courtiers contrats discrets;Intermediaire missions courtes.;Fiche Saevar
Palyr;Saevar Dren;Tripot;Lira;Dettes jeu levier.;Fiche Saevar + Lira
Palyr;Saevar Dren;UBI;Horgrim Dval;Surete delegation vs verrou banque.;Friction Lysa acces
