Référence;Type de document;Parties;Déposé par;Date;Criticité
SE-III-520-001;Contrat de service (mandat);Maison Thorne ↔ Guilde des Ports Unis;Lord Edran Thorne (Maison Thorne);520-I-14;III
RD-III-542-003;Reconnaissance de dette;Grandes maisons Il-Irion ↔ Ther-Félis;Conseil sortant UBI (Il-Irion);542-IV-06;III
CP-III-542-002;Correspondance compromettante;Dame Lysara Valdris ↔ Capitaine Thoren Blackwater;Déposant anonyme (origine inconnue);542-IV-28;III
CP-III-542-001;Correspondance compromettante;Dame Lysara Valdris ↔ Dame Elara Thornwood;Déposant anonyme (origine inconnue);542-V-12;III
AC-II-543-003;Avis de conciliation;Fournisseur herbes ↔ initiales D.B.;Saisie réseau Sangs (Sangs de la Steppe);543-I-03;II
RD-III-543-002;Reconnaissance de dette;Marda Velyss → intermédiaire Sangs;Copie conservée Sangs (Sangs de la Steppe);543-IV-08;III
RD-III-543-004;Avenant reconnaissance;Il-Irion ↔ Arthas;Conseil sortant UBI (Il-Irion);543-VI-03;III
CP-III-543-001;Correspondance compromettante;Dame Lysara Valdris ↔ Maître Aldric Portmaster;Déposant anonyme (origine inconnue);543-VI-05;III
CC-III-544-002;Correspondance commerciale;Maître Halwen Rask (Staal) → chroniqueur;Saisie réseau Sangs (Sangs de la Steppe);544-VI-21;III
BC-III-544-003;Bordereau de caisse;Ydria Ventoss — réserves UBI;Saisie réseau Sangs (Sangs de la Steppe);544-VIII-11;III
FC-III-544-001;Fiche comptable (copie);Détournements mandat — initiales « E. »;Saisie réseau Sangs (Sangs de la Steppe);544-IX-14;III
FC-III-544-004;Fiche comptable (registre clos);UBI — dépôt de valeur;Archiviste registre clos (UBI);544-X-19;III
CO-II-545-001;Contrat commercial;Sfaal ↔ Palyr;Duc Thoren Forgefer (Sfaal);545-I-01;II
PA-II-545-003;Placard anonyme;Auteur inconnu → circulation publique;Copie conservée Sangs (Sangs de la Steppe);545-I-03;II
CC-II-545-004;Correspondance commerciale;UBI → Ther-Félis;Trésorerie sortante UBI (Il-Irion);545-XI-11;II
FL-III-545-002;Fragment de lettre;Melian Torv → Palyr (initiale « L. »);Saisie réseau Sangs (Sangs de la Steppe);545-XII-30;III
DE-II-546-001;Contrat de dette;Il-Irion ↔ Palyr;Seigneur Aldric Ventoss (Il-Irion);546-I-01;II
FM-III-546-006;Fragment de message;Infiltration — citadelle;Saisie réseau Sangs (Sangs de la Steppe);546-I-06;III
RD-III-546-007;Reconnaissance de dette;Initiales M.T. ↔ créancier satellite Tripot;Copie recensée (archive confédérale);546-I-07;III
BM-III-546-005;Billet maritime;Korran Vesper → Kaelan Thormane;Copie conservée Sangs (Sangs de la Steppe);546-V-02;III
FA-III-546-003;Document falsifié;Trésorerie de Palyr → Maître Thoren Forgefer;Déposant anonyme (origine inconnue);546-IX-18;III
RA-III-546-004;Rapport d'agent;Agent "L'Ombre" → Kaelan Thormane;Déposant anonyme (origine inconnue);546-XI-03;III
CP-III-546-002;Correspondance compromettante;Expéditeur anonyme ↔ Maître Silas le Graveur;Déposant anonyme (origine inconnue);546-XI-20;III
CO-II-547-001;Contrat commercial;Sfaal ↔ Palyr;Duc Thoren Forgefer (Sfaal);547-I-01;II
MC-III-547-003;Message codé (copie);Sybrel Dornik ↔ réseau Sangs;Archive Sangs (Sangs de la Steppe);547-I-03;III
TR-III-547-005;Tableau de relais;Initiales R. — quai Il-Irion;Saisie réseau Sangs (Sangs de la Steppe);547-I-05;III
NS-III-547-006;Note de service;Bureau M. (MiVI, Primat) → T. Corvel;Copie recensée (archive confédérale);547-VIII-12;III
MQ-II-547-004;Marque de quai;Guilde — remise informelle;Saisie réseau Sangs (Sangs de la Steppe);547-VIII-29;II
AN-III-547-008;Annexe commerciale;Arthas & Ther-Félis — intermédiaires;Copie recensée (archive confédérale);547-IX-01;III
GC-III-547-007;Grille de contact;Varek — Tripot, pisteur;Copie recensée (archive confédérale);547-IX-01;III
FA-III-547-002;Document falsifié;Capitaine Marcus Blackwater ↔ Maître Aldric Portmaster;Déposant anonyme (origine inconnue);547-X-25;III
