personnage_tripot,personnage_autre_groupe,interactions
Marda Velyss,Edorian - Banquiers UBI,Pacte instable sur les flux blanchis et le récit de crise ; levier documentaire interne banque ; ligne financière
Marda Velyss,Kaelan Thormane - Mafia (Sangs de la Steppe),Négociation sous menace : absorption du Tripot vs temps pour organiser la fuite
Marda Velyss,Raven - Mafia (Sangs de la Steppe),Quai et réseau ; pression ou trêve ; cohérence régate
Marda Velyss,Corvyn Valdrak - Palyr,Conflit frontal : survie du casino vs fermeture politique préparée côté Palyr
Marda Velyss,Intermédiaire Il-Irion - Il-Irion,Préparation d'exfiltration après la fenêtre convenue ; maximum d'or
Marda Velyss,Gorvan Tresselune - Voleurs 1 (Gorvan),Couverture sociale : casino comme écran de fumée pour mouvements d'argent et préparation
Ardan Trevil,Garrick Halvaren - Il-Irion,Tension sécuritaire : verrouillage du casino face aux pressions armées et provocations extérieures
Ardan Trevil,Kaelan / réseau Sangs - Mafia,Confrontations passées et négociation ; dette de salle (Marda)
Éliane,Sven Orlac - Ther-Félis,Arrangement sur cotes et signaux pour influencer la régate sans exposer le Tripot
Éliane,Arnek Sturmveld - Palyr,Double jeu : mêmes promesses à plusieurs camps ; marge avant la fuite
Éliane,Miraen Talvas - MiVI,Paris et tables VIP ; croisements casino
Éliane,Juges de régate - Convention (multi-groupes),Soudoiement influence truquage ; cohérence obligatoire avec autres délégations
Soren,Saevar Dren - Palyr / Brigade Noire,Traque inversée : brouiller les pistes avant la fenêtre d'évasion
Lira Vestrann,Joric Tann - Ther-Félis,Exploitation des dettes : pousser à miser pour infos et leviers sur Ther-Félis
Lira Vestrann,Cyrion Valdris - Il-Irion (Maison Valdris),Salon et levier ; chantage partiel selon scène
Sira Vestrann,Notables / Maison Valdris - Il-Irion,Dettes et rumeurs ; lettre trafic alcool — chantage possible
Ysabeau,Clients VIP - Il-Irion,Captation d'informations politiques au comptoir contre faveurs de jeu
Ysabeau,Melian Torv - Banquiers UBI,Pont thématique Palyr / foi ; recoupler avec Lydwen sur scènes coffre
Varek,Corvus - Banquiers UBI,Liaison discrète : récupérer ou livrer un paquet sensible entre banque et réseau
Varek,Réseau Sybrel / Sangs - UBI,Message codé relais ; lecture des rotations sans tout exposer
Lydwen,Melian Torv - Banquiers UBI,Friction spirituelle : visions concurrentes sur l'artefact et effondrement public
Lydwen,Ligne banque / artefact - Banquiers UBI,Rumeur et levier ; cohérence ligne banque
Fenric Ossel,Edorian - Banquiers UBI,Menace documentaire et audit ; pression sur consolidation
Fenric Ossel,Registre archives UBI - Banquiers UBI,Croisements possibles si scène banque
