Référence;Type de document;Parties;Déposé par;Date;Criticité
SE-III-520-001;Contrat de service (mandat);Maison Thorne ↔ Guilde des Ports Unis;Lord Edran Thorne (Maison Thorne);520-I-14;III
RD-III-542-003;Reconnaissance de dette;Grandes maisons Il-Irion ↔ Ther-Félis;Conseil sortant UBI (Il-Irion);542-IV-06;III
CP-III-542-002;Correspondance compromettante;Dame Lysara Valdris ↔ Capitaine Thoren Blackwater;Déposant anonyme (origine inconnue);542-IV-28;III
CP-III-542-001;Correspondance compromettante;Dame Lysara Valdris ↔ Dame Elara Thornwood;Déposant anonyme (origine inconnue);542-V-12;III
RD-III-543-004;Avenant reconnaissance;Il-Irion ↔ Arthas;Conseil sortant UBI (Il-Irion);543-VI-03;III
CP-III-543-001;Correspondance compromettante;Dame Lysara Valdris ↔ Maître Aldric Portmaster;Déposant anonyme (origine inconnue);543-VI-05;III
CC-III-544-002;Correspondance commerciale;Maître Halwen Rask (Staal) → chroniqueur;Saisie réseau Sangs (Sangs de la Steppe);544-VI-21;III
CO-II-545-001;Contrat commercial;Sfaal ↔ Palyr;Duc Thoren Forgefer (Sfaal);545-I-01;II
CC-II-545-004;Correspondance commerciale;UBI → Ther-Félis;Trésorerie sortante UBI (Il-Irion);545-XI-11;II
FL-III-545-002;Fragment de lettre;Melian Torv → Palyr (initiale « L. »);Saisie réseau Sangs (Sangs de la Steppe);545-XII-30;III
DE-II-546-001;Contrat de dette;Il-Irion ↔ Palyr;Seigneur Aldric Ventoss (Il-Irion);546-I-01;II
CP-III-546-002;Correspondance compromettante;Expéditeur anonyme ↔ Maître Silas le Graveur;Déposant anonyme (origine inconnue);546-XI-20;III
CO-II-547-001;Contrat commercial;Sfaal ↔ Palyr;Duc Thoren Forgefer (Sfaal);547-I-01;II
