reference;periode;type_document;parties;description_contenu;depose_par;date_depot;date_execution;criticite;montant;droit_ubi_paye;statut;source_registre
PR-III-397-006;archives;Contrat de protection;Sfaal ↔ Il-Irion;Escorte armée de poudres alchimiques et d'ingrédients magiques entre deux comptoirs;;397-III-05;397-VI-16;III;7'400 couronnes;148 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-397-001;archives;Contrat commercial;Sfaal ↔ Palyr;Vente de chanvre, cordage fin et grosses aussières;;397-V-14;397-VII-23;I;3'850 couronnes;77 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-397-004;archives;Contrat commercial;Il-Irion ↔ Palyr;Vente de cuirasses légères, casques rivetés et brassards de garde;;397-VI-12;397-VII-22;II;11'150 couronnes;223 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-397-002;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Achat de laine brute, fil teint et aiguilles d'atelier;;397-VIII-20;397-XI-04;I;4'650 couronnes;93 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-397-007;archives;Contrat d'exclusivité;Il-Irion ↔ Sfaal;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;397-IX-09;397-X-18;III;6'150 couronnes;123 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-397-009;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat EC-III-397-007 : alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;397-IX-09;397-X-18;III;3'075 couronnes;123 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-III-397-005;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;397-X-21;398-I-21;III;7'450 couronnes;149 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-397-008;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat CO-III-397-005 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;397-X-21;398-I-21;III;3'725 couronnes;149 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-I-397-003;archives;Contrat commercial;Sfaal ↔ Arthas;Vente de sel gris, saumure et jarres de conservation;;397-XI-02;397-XII-03;I;7'650 couronnes;153 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-398-002;archives;Contrat de service;Ther-Félis ↔ Palyr;Inventaire de greniers, caves et réserves marchandes;;398-I-07;398-IV-09;I;8'050 couronnes;161 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-398-005;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat PR-III-398-004 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;398-II-17;398-V-09;III;3'925 couronnes;157 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-398-004;archives;Contrat de protection;Arthas ↔ Ther-Félis;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;398-II-17;398-V-09;III;7'850 couronnes;157 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-398-003;archives;Contrat commercial;Palyr ↔ Ther-Félis;Fourniture de tuiles vernissées, ferrures de portail et plomb de toiture;;398-VIII-17;398-X-02;II;11'400 couronnes;228 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-398-001;archives;Contrat commercial;Il-Irion ↔ Sfaal;Vente de vin de table, vinaigre et tonnelets de lies;;398-X-25;398-XII-10;I;5'050 couronnes;101 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-399-002;archives;Contrat de protection;Arthas ↔ Il-Irion;Garde de greniers pendant un litige de livraison;;399-IV-11;399-VI-24;I;6'450 couronnes;129 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-III-399-005;archives;Contrat d'exploitation;Arthas ↔ Il-Irion;Exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;399-IV-26;399-V-04;III;9'850 couronnes;197 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-399-006;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat EP-III-399-005 : exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;399-IV-26;399-V-04;III;4'925 couronnes;197 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-I-399-003;archives;Contrat de protection;Il-Irion ↔ Arthas;Garde de chantier naval pendant pose de pièces importées;;399-V-14;399-IX-17;I;8'900 couronnes;178 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-399-004;archives;Contrat commercial;Il-Irion ↔ Palyr;Fourniture de plantes médicinales fraîches, racines rares et fleurs de serre;;399-XII-24;399-XII-10;II;11'850 couronnes;237 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-400-001;archives;Contrat commercial;Il-Irion ↔ Palyr;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;400-XII-05;401-I-15;III;7'500 couronnes;150 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-400-002;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat CO-III-400-001 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;400-XII-05;401-I-15;III;3'750 couronnes;150 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-401-003;archives;Contrat commercial;Palyr ↔ Arthas;Fourniture de minerai de fer noir, hématite rouge et sacs de charbon de forge;;401-III-04;401-VII-17;II;12'100 couronnes;242 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-401-005;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;401-VI-18;401-VIII-26;III;6'700 couronnes;134 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-401-007;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat CO-III-401-005 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;401-VI-18;401-VIII-26;III;3'350 couronnes;134 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
EC-I-401-001;archives;Contrat d'exclusivité;Palyr ↔ Arthas;Priorité sur bois de chêne sec pour coffres;;401-IX-22;401-XII-11;I;7'500 couronnes;150 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-401-004;archives;Contrat d'exclusivité;Arthas ↔ Palyr;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;401-X-16;402-I-05;III;7'300 couronnes;146 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-401-006;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat EC-III-401-004 : alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;401-X-16;402-I-05;III;3'650 couronnes;146 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-I-402-002;archives;Contrat commercial;Sfaal ↔ Arthas;Achat de fer doux, clous longs et bandes de cerclage;;402-III-08;402-V-25;I;8'900 couronnes;178 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-III-402-006;archives;Contrat de protection;Ther-Félis ↔ Il-Irion;Escorte armée de poudres alchimiques et d'ingrédients magiques entre deux comptoirs;;402-IV-07;402-VI-19;III;7'150 couronnes;143 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-402-004;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Vente de fleurs coupées, bulbes rares et couronnes de serre;;402-VII-11;402-VIII-25;II;12'550 couronnes;251 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-402-008;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la première régate;;402-XII-01;402-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
SE-I-402-001;archives;Contrat de service;Arthas ↔ Ther-Félis;Construction de rayonnages, coffres bas et pupitres de compte;;402-XII-02;402-XII-18;I;8'100 couronnes;162 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-402-007;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat SE-III-402-005 : transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;402-XII-11;403-I-20;III;4'025 couronnes;161 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-402-005;archives;Contrat de service;Sfaal ↔ Arthas;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;402-XII-11;403-I-20;III;8'050 couronnes;161 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-III-403-001;archives;Contrat de service;Ther-Félis ↔ Sfaal;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;403-V-28;403-VI-11;III;7'650 couronnes;153 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-404-004;archives;Contrat d'exclusivité;Ther-Félis ↔ Arthas;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;404-I-16;404-IV-26;III;8'300 couronnes;166 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-404-002;archives;Contrat commercial;Palyr ↔ Il-Irion;Vente de vin de table, vinaigre et tonnelets de lies;;404-III-07;404-VI-13;I;2'650 couronnes;53 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-404-003;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Fourniture de pierres semi-précieuses, perles d'eau douce et cabochons verts;;404-X-17;404-XII-06;II;12'800 couronnes;256 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-405-002;archives;Contrat de protection;Arthas ↔ Palyr;Escorte de lingots entre forge et comptoir bancaire;;405-II-05;405-IV-26;I;3'350 couronnes;67 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-405-004;archives;Contrat commercial;Il-Irion ↔ Arthas;Fourniture de lances montées, boucliers peints et sangles de réserve;;405-II-24;405-V-14;II;10'250 couronnes;205 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-405-003;archives;Contrat de service;Arthas ↔ Sfaal;Copie de registres de dettes et reclassement de bordereaux;;405-VII-14;405-XI-21;I;3'450 couronnes;69 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-405-007;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat SE-III-405-005 : mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;405-VIII-22;405-IX-10;III;4'975 couronnes;199 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-405-005;archives;Contrat de service;Sfaal ↔ Palyr;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;405-VIII-22;405-IX-10;III;9'950 couronnes;199 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-405-001;archives;Contrat de service;Palyr ↔ Ther-Félis;Rédaction de contrats de vente pour marchands étrangers;;405-XI-25;405-XII-19;I;2'550 couronnes;51 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-405-006;archives;Contrat de dette;Il-Irion ↔ Palyr;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;405-XII-14;406-I-29;III;8'050 couronnes;161 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-III-406-002;archives;Contrat d'exploitation;Arthas ↔ Il-Irion;Exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;406-II-25;406-IV-29;III;6'300 couronnes;126 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-406-003;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat EP-III-406-002 : exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;406-II-25;406-IV-29;III;3'150 couronnes;126 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
EP-I-406-001;archives;Contrat d'exploitation;Sfaal ↔ Palyr;Coupe contrôlée de bois de chêne sur domaine marchand;;406-IV-10;406-VII-06;I;3'750 couronnes;75 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-III-407-005;archives;Contrat de service;Ther-Félis ↔ Il-Irion;Mise à disposition de commis spécialisés pour copie de registres sensibles et reclassement de dettes;;407-IV-06;407-VII-26;III;9'350 couronnes;187 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
